17/12/2006;00:00:00;4.400;0.000;2.000;0.000
17/12/2006;00:01:00;7.400;0.000;1.000;0.000
17/12/2006;00:02:00;12.600;0.000;2.000;0.000
17/12/2006;00:03:00;12.400;0.000;1.000;0.000
17/12/2006;00:04:00;11.800;0.000;2.000;0.000
17/12/2006;00:05:00;11.800;0.000;1.000;0.000
17/12/2006;00:06:00;11.800;0.000;1.000;0.000
17/12/2006;00:07:00;10.800;0.000;2.000;0.000
17/12/2006;00:08:00;3.000;0.000;1.000;0.000
17/12/2006;00:09:00;4.800;0.000;2.000;0.000
17/12/2006;00:10:00;10.800;0.000;1.000;0.000
17/12/2006;00:11:00;10.800;0.000;1.000;0.000
17/12/2006;00:12:00;10.800;0.000;2.000;0.000
17/12/2006;00:13:00;10.600;0.000;1.000;0.000
17/12/2006;00:14:00;10.400;0.000;1.000;0.000
17/12/2006;00:15:00;8.000;0.000;1.000;0.000
17/12/2006;00:16:00;1.800;0.000;2.000;0.000
17/12/2006;00:17:00;4.600;0.000;1.000;0.000
17/12/2006;00:18:00;10.200;0.000;1.000;0.000
17/12/2006;00:19:00;10.000;0.000;1.000;0.000
17/12/2006;00:20:00;9.800;0.000;1.000;0.000
17/12/2006;00:21:00;9.600;0.000;0.000;0.000
17/12/2006;00:22:00;1.200;0.000;0.000;0.000
17/12/2006;00:23:00;4.600;0.000;0.000;0.000
17/12/2006;00:24:00;9.600;0.000;0.000;0.000
17/12/2006;00:25:00;9.600;0.000;0.000;0.000
17/12/2006;00:26:00;9.800;0.000;0.000;0.000
17/12/2006;00:27:00;9.600;0.000;0.000;0.000
17/12/2006;00:28:00;9.800;0.000;0.000;0.000
17/12/2006;00:29:00;4.000;0.000;0.000;0.000
17/12/2006;00:30:00;1.200;0.000;0.000;0.000
17/12/2006;00:31:00;8.800;0.000;0.000;0.000
17/12/2006;00:32:00;9.800;0.000;0.000;0.000
17/12/2006;00:33:00;9.800;0.000;0.000;0.000
17/12/2006;00:34:00;10.000;0.000;0.000;0.000
17/12/2006;00:35:00;5.600;0.000;0.000;0.000
17/12/2006;00:36:00;1.600;0.000;0.000;0.000
17/12/2006;00:37:00;7.400;0.000;0.000;0.000
